Who is the only player to score 4 centuries in a single IPL season?,Shane Watson,Chris Gayle,David Warner,Virat Kohli,Chris Gayle
What is the name of the cricket stadium located in Mumbai?,Feroz Shah Kotla,Wankhede Stadium,Eden Gardens,M. A. Chidambaram Stadium,Wankhede Stadium
What is the name of the Indian coffee estate that holds the record for the world's largest coffee plantation?,Coorg Coffee Estate,Chikmagalur Coffee Estate,Nagarhole Coffee Estate,Wayanad Coffee Estate,Chikmagalur Coffee Estate
Which team has won the most IPL titles as of IPL 2021?,Chennai Super Kings,Mumbai Indians,Royal Challengers Bangalore,Kolkata Knight Riders,Mumbai Indians
Which Indian state is known for its production of high-quality coffee?,Karnataka,Kerala,Tamil Nadu,Andhra Pradesh,Karnataka
What is the name of the popular coffee chain that originated in India and has now expanded globally?,Barista,Cafe Coffee Day,Starbucks,Costa Coffee,Cafe Coffee Day
What is the name of the traditional Indian coffee made with a blend of spices including ginger, cardamom, and cinnamon?,Masala Chai,Masala Coffee,Filter Coffee,Instant Coffee,Masala Coffee
Who holds the record for the highest individual score in an IPL match?,AB de Villiers,Chris Gayle,Rohit Sharma,KL Rahul,Chris Gayle
What is the name of the South Indian filter coffee made by mixing frothed and boiled milk with ground coffee beans?,Espresso,Latte,Cappuccino,Chai,Kaapi
Which team won the first IPL tournament held in 2008?,Mumbai Indians,Chennai Super Kings,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals
What is the name of the Indian coffee liqueur made from a blend of Indian coffee beans and grain spirits?,Kahlúa,Bols Coffee,Blue Tokai Coffee Liqueur,Sula Vineyards Coffee Liqueur,Blue Tokai Coffee Liqueur
Which Indian city is home to India's first coffee museum?,Bengaluru,Chennai,Hyderabad,Mumbai,Bengaluru
Which team has never won an IPL title as of IPL 2021?,Kings XI Punjab,Delhi Capitals,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore
What is the name of the cricket stadium located in Kolkata?,M. A. Chidambaram Stadium,Eden Gardens,Chinnaswamy Stadium,Wankhede Stadium,Eden Gardens
Which Indian coffee company is known for its iconic mascot, a South Indian woman in a green sari?,Tata Coffee,Narasus Coffee,Coffee Day,Leo Coffee,Narasus Coffee
Which player has won the most Orange Caps (awarded to the tournament's leading run-scorer) in IPL history as of IPL 2021?,Virat Kohli,Chris Gayle,David Warner,Kane Williamson,Chris Gayle
What is the name of the Indian coffee brand that markets itself as the "original filter coffee"?,Leo Coffee,Narasus Coffee,Tata Coffee,Bru Coffee,Narasus Coffee
Which team won the IPL title in 2020?,Mumbai Indians,Delhi Capitals,Royal Challengers Bangalore,Kings XI Punjab,Mumbai Indians
Which Indian state is known for its popular street-style coffee known as "meter coffee"?,Kerala,Tamil Nadu,Karnataka,Andhra